sku,name,brand,category,description,source_url,data_source
KEHE-MADE-WITH-ORGANIC-AGAVE-SYRUP-NON-GMO,Organic Agave Syrup - Non-GMO,MADE-WITH,Syrups,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/organic-agave-syrup/,kehe_public_marketing_page
KEHE-MADE-WITH-CREAMY-ITALIAN-CHEESE,Creamy Italian Cheese,MADE-WITH,Cheese,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/creamy-italian-cheese/,kehe_public_marketing_page
KEHE-MADE-WITH-TOMATO-BASIL-ORGANIC-PASTA-SAUCE,Tomato Basil Organic Pasta Sauce,MADE-WITH,Pasta Sauce,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/organic-pasta-sauce/,kehe_public_marketing_page
KEHE-MADE-WITH-ALL-NATURAL-ORGANIC-AMBER-MAPLE-SYRUP,All Natural Organic Amber Maple Syrup,MADE-WITH,Syrups,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/organic-amber-maple-syrup/,kehe_public_marketing_page
KEHE-MADE-WITH-ITALIAN-CAPPUCCINO-GELATO,Italian Cappuccino Gelato,MADE-WITH,Frozen Desserts,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/italian-cappuccino-gelato/,kehe_public_marketing_page
KEHE-MADE-WITH-ALL-NATURAL-ORGANIC-TOMATO-SAUCE,All Natural Organic Tomato Sauce,MADE-WITH,Canned Tomatoes,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/organic-tomato-sauce/,kehe_public_marketing_page
KEHE-MADE-WITH-ITALIAN-PISTACHIO-GELATO,Italian Pistachio Gelato,MADE-WITH,Frozen Desserts,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/italian-pistachio-gelato/,kehe_public_marketing_page
KEHE-MADE-WITH-HABANERO-ROASTED-CORN-KERNELS,Habanero Roasted Corn Kernels,MADE-WITH,Canned Vegetables,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/roasted-corn-kernels/,kehe_public_marketing_page
KEHE-MADE-WITH-ORGANIC-OLIVE-OIL-SPRAY,Organic Olive Oil Spray,MADE-WITH,Oils & Sprays,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/organic-olive-oil-spray/,kehe_public_marketing_page
KEHE-MADE-WITH-ORGANIC-RED-KIDNEY-BEANS,Organic Red Kidney Beans,MADE-WITH,Canned Vegetables,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/organic-red-kidney-beans/,kehe_public_marketing_page
KEHE-MADE-WITH-ORGANIC-GARLIC-INFUSED-OLIVE-OIL-SPRAY,Organic Garlic Infused Olive Oil Spray,MADE-WITH,Oils & Sprays,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/garlic-infused-olive-oil-spray/,kehe_public_marketing_page
KEHE-MADE-WITH-ORGANIC-BALSAMIC-GLAZE-OF-MODENA,Organic Balsamic Glaze of Modena,MADE-WITH,Condiments,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/organic-balsamic-glaze/,kehe_public_marketing_page
KEHE-MADE-WITH-ORGANIC-HONEY-ALMOND-GRANOLA-NON-GMO,Organic Honey Almond Granola - Non GMO,MADE-WITH,Granola,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/honey-almond-granola/,kehe_public_marketing_page
KEHE-MADE-WITH-PINEAPPLE-JALAPENO-JELLY,Pineapple Jalapeno Jelly,MADE-WITH,Spreads & Jellies,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/pineapple-jalapeno-jelly/,kehe_public_marketing_page
KEHE-MADE-WITH-ALL-NATURAL-ORGANIC-NO-SALT-ADDED-DICED-TOMATOES,All Natural Organic No Salt Added Diced Tomatoes,MADE-WITH,Canned Tomatoes,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/no-salt-added-diced-tomatoes/,kehe_public_marketing_page
KEHE-EINSTEIN-ENERGY-CHOCOLATE-PEANUT-BUTTER-18-COUNT,Chocolate Peanut Butter (18-Count),Einstein Energy,Energy Bars,"Einstein Energy product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://einstein.energy/products/chocolate-peanut-butter,kehe_public_marketing_page
KEHE-EINSTEIN-ENERGY-CHOCOLATE-PEANUT-BUTTER-9-COUNT-BOX,Chocolate Peanut Butter (9-Count Box),Einstein Energy,Energy Bars,"Einstein Energy product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://einstein.energy/products/chocolate-peanut-butter-9-count-box,kehe_public_marketing_page
KEHE-EINSTEIN-ENERGY-DOUBLE-CHOCOLATE-18-COUNT-BOX,Double Chocolate (18-Count Box),Einstein Energy,Energy Bars,"Einstein Energy product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://einstein.energy/products/double-chocolate-18-count-box,kehe_public_marketing_page
KEHE-EINSTEIN-ENERGY-DOUBLE-CHOCOLATE-9-COUNT-BOX,Double Chocolate (9-Count Box),Einstein Energy,Energy Bars,"Einstein Energy product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://einstein.energy/products/double-chocolate-9-count-box,kehe_public_marketing_page
KEHE-EINSTEIN-ENERGY-COMBO-PACK-CHOCOLATE-PEANUT-BUTTER-DOUBLE-CH,Combo Pack - Chocolate Peanut Butter & Double Chocolate (18-Count),Einstein Energy,Energy Bars,"Einstein Energy product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://einstein.energy/products/einstein-super-snack-bar-combo-pack-chocolate-peanut-butter-double-chocolate-18-count,kehe_public_marketing_page
KEHE-EINSTEIN-ENERGY-EINSTEIN-ENERGY-SMART-SNACK-BARS,Einstein Energy Smart Snack Bars,Einstein Energy,Energy Bars,"Einstein Energy product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://einstein.energy/products/einstein-energy-bars,kehe_public_marketing_page
KEHE-LIL-HALA-FOODS-FREE-RANGE-MEDITERRANEAN-STYLE-CHICKEN-6-COUN,Free-Range Mediterranean Style Chicken (6 Count),Lil Hala Foods,Baby/Kids Food,"Lil Hala Foods product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://lilhalafoods.com/products/free-range-mediterranean-style-chicken,kehe_public_marketing_page
KEHE-LIL-HALA-FOODS-GRASS-FED-BEEF-SHAWARMA-6-COUNT,Grass-Fed Beef Shawarma (6 Count),Lil Hala Foods,Baby/Kids Food,"Lil Hala Foods product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://lilhalafoods.com/products/grass-fed-beef-shawarma,kehe_public_marketing_page
KEHE-LIL-HALA-FOODS-FREE-RANGE-CHICKEN-CURRY-6-COUNT,Free-Range Chicken Curry (6 Count),Lil Hala Foods,Baby/Kids Food,"Lil Hala Foods product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://lilhalafoods.com/products/free-range-chicken-curry,kehe_public_marketing_page
KEHE-LIL-HALA-FOODS-GRASS-FED-ROAST-BEEF-6-COUNT,Grass-Fed Roast Beef (6 Count),Lil Hala Foods,Baby/Kids Food,"Lil Hala Foods product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://lilhalafoods.com/products/grass-fed-roast-beef,kehe_public_marketing_page
KEHE-LIL-HALA-FOODS-FREE-RANGE-JERK-CHICKEN-6-COUNT,Free-Range Jerk Chicken (6 Count),Lil Hala Foods,Baby/Kids Food,"Lil Hala Foods product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://lilhalafoods.com/products/free-range-jerk-chicken,kehe_public_marketing_page
KEHE-LIL-HALA-FOODS-BEST-SELLER-BUNDLE-12-COUNT,Best Seller Bundle (12 Count),Lil Hala Foods,Baby/Kids Food,"Lil Hala Foods product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://lilhalafoods.com/products/best-seller-bundle-12-count,kehe_public_marketing_page
KEHE-NICE-CANS-SARDINES-WITH-ROSEMARY-AND-FENNEL,Sardines with Rosemary and Fennel,Nice Cans,Canned Seafood,"Nice Cans product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://justnicecans.com/products/sardines-with-rosemary-and-fennel,kehe_public_marketing_page
KEHE-NICE-CANS-SARDINES-IN-TOMATOES-AND-PEPPERS,Sardines in Tomatoes and Peppers,Nice Cans,Canned Seafood,"Nice Cans product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://justnicecans.com/products/sardines-in-tomatoes-and-peppers,kehe_public_marketing_page
KEHE-NICE-CANS-SMOKED-SARDINES-IN-ORGANIC-OLIVE-OIL-AND-SEA-SALT,Smoked Sardines in Organic Olive Oil and Sea Salt,Nice Cans,Oils & Sprays,"Nice Cans product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://justnicecans.com/products/smoked-sardines-in-organic-olive-oil-and-sea-salt,kehe_public_marketing_page
KEHE-NICE-CANS-VARIETY-PACK,Variety Pack,Nice Cans,Variety Pack,"Nice Cans product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://justnicecans.com/products/variety-pack,kehe_public_marketing_page
KEHE-PASTAIO-ORGANIC-DURUM-WHEAT-PENNE-8-PACK,Organic Durum Wheat Penne (8-Pack),Pastaio,Pasta,"Pastaio product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://firmas-rep.myshopify.com/collections/all/products/organic-durum-wheat-penne,kehe_public_marketing_page
KEHE-PASTAIO-ORGANIC-DURUM-WHEAT-ROTINI-8-PACK,Organic Durum Wheat Rotini (8-Pack),Pastaio,Pasta,"Pastaio product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://firmas-rep.myshopify.com/collections/all/products/organic-durum-wheat-rotini,kehe_public_marketing_page
KEHE-PASTAIO-ORGANIC-DURUM-WHEAT-SPAGHETTI-8-PACK,Organic Durum Wheat Spaghetti (8-Pack),Pastaio,Pasta,"Pastaio product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://firmas-rep.myshopify.com/collections/all/products/organic-durum-wheat-spaghetti,kehe_public_marketing_page
KEHE-TIERRA-NEGRA-SALSA-PREMIUM-MEXICAN-DARK-SALSA-SIGNATURE,Premium Mexican Dark Salsa (Signature),Tierra Negra Salsa,Salsa,"Tierra Negra Salsa product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://www.tierranegrasalsa.com/product/salsa-original/,kehe_public_marketing_page
KEHE-TIERRA-NEGRA-SALSA-PREMIUM-MEXICAN-SALSA-ROJA,Premium Mexican Salsa Roja,Tierra Negra Salsa,Salsa,"Tierra Negra Salsa product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://www.tierranegrasalsa.com/product/premium-mexican-salsa-roja/,kehe_public_marketing_page
KEHE-TIERRA-NEGRA-SALSA-PREMIUM-MEXICAN-SALSA-VERDE,Premium Mexican Salsa Verde,Tierra Negra Salsa,Salsa,"Tierra Negra Salsa product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://www.tierranegrasalsa.com/product/premium-mexican-salsa-verde/,kehe_public_marketing_page
KEHE-TIERRA-NEGRA-SALSA-PREMIUM-MEXICAN-SALSA-BUNDLE,Premium Mexican Salsa Bundle,Tierra Negra Salsa,Salsa,"Tierra Negra Salsa product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://www.tierranegrasalsa.com/product/salsa-bundle/,kehe_public_marketing_page
KEHE-ONOIN-GLOBAL-VARIETY-PACK,Global Variety Pack,Onoin,Variety Pack,"Onoin product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://eatonoin.com/products/variety-pack,kehe_public_marketing_page
KEHE-ONOIN-GARLIC-HERB,Garlic & Herb,Onoin,Prepared Produce,"Onoin product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://eatonoin.com/products/garlic-herb,kehe_public_marketing_page
KEHE-ONOIN-ORIGINAL,Original,Onoin,Prepared Produce,"Onoin product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://eatonoin.com/products/original,kehe_public_marketing_page
KEHE-ONOIN-GINGER-LEMONGRASS,Ginger & Lemongrass,Onoin,Prepared Produce,"Onoin product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://eatonoin.com/products/ginger-lemongrass,kehe_public_marketing_page
KEHE-ONOIN-JALAPENO-LIME,Jalapeno Lime,Onoin,Prepared Produce,"Onoin product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://eatonoin.com/products/jalapeno-lime,kehe_public_marketing_page
KEHE-HELLA-COCKTAIL-CO-AROMATIC-BITTERS-5-OZ,"Aromatic Bitters, 5 oz",Hella Cocktail Co.,Cocktail Bitters,"Hella Cocktail Co. product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://hellacocktail.co/products/aromatic-cocktail-bitters-5oz,kehe_public_marketing_page
KEHE-HELLA-COCKTAIL-CO-MEXICAN-CHOCOLATE-BITTERS-5-OZ,"Mexican Chocolate Bitters, 5 oz",Hella Cocktail Co.,Cocktail Bitters,"Hella Cocktail Co. product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://hellacocktail.co/products/mexican-chocolate-cocktail-bitters-5oz,kehe_public_marketing_page
KEHE-HELLA-COCKTAIL-CO-CITRUS-BITTERS-1-7-OZ,"Citrus Bitters, 1.7 oz",Hella Cocktail Co.,Cocktail Bitters,"Hella Cocktail Co. product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://shop.hellacocktail.co/products/citrus-bitters-1-7oz,kehe_public_marketing_page
KEHE-HELLA-COCKTAIL-CO-FIVE-FLAVOR-BITTERS-STARTER-KIT-8-5-OZ,"Five Flavor Bitters Starter Kit, 8.5 oz",Hella Cocktail Co.,Cocktail Bitters,"Hella Cocktail Co. product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://hellacocktail.co/products/five-flavor-bitters-bar-set-five-1-7-oz-bottles,kehe_public_marketing_page
KEHE-HELLA-COCKTAIL-CO-TWO-FLAVOR-BITTERS-STARTER-KIT-3-4-OZ,"Two Flavor Bitters Starter Kit, 3.4 oz",Hella Cocktail Co.,Cocktail Bitters,"Hella Cocktail Co. product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://hellacocktail.co/products/two-flavor-bitters-bar-set-two-1-7-ounce-bottles,kehe_public_marketing_page
KEHE-DI-MARTINO-PASTA-SPAGHETTI-PGI-GRAGNANO,Spaghetti (PGI Gragnano),Di Martino Pasta,Pasta,"Di Martino Pasta product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://pastadimartino.com/products/spaghetti,kehe_public_marketing_page
KEHE-DI-MARTINO-PASTA-ORGANIC-SPAGHETTI,Organic Spaghetti,Di Martino Pasta,Pasta,"Di Martino Pasta product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://pastadimartino.com/products/spaghetti-organic,kehe_public_marketing_page
KEHE-DI-MARTINO-PASTA-MACARONI-PGI-GRAGNANO,Macaroni (PGI Gragnano),Di Martino Pasta,Pasta,"Di Martino Pasta product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://pastadimartino.com/products/macaroni,kehe_public_marketing_page
KEHE-DI-MARTINO-PASTA-BUCATINI-PGI-GRAGNANO,Bucatini (PGI Gragnano),Di Martino Pasta,Pasta,"Di Martino Pasta product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://pastadimartino.com/products/bucatini,kehe_public_marketing_page
KEHE-DI-MARTINO-PASTA-LINGUINE-PGI-GRAGNANO,Linguine (PGI Gragnano),Di Martino Pasta,Pasta,"Di Martino Pasta product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://pastadimartino.com/products/linguine,kehe_public_marketing_page
KEHE-DI-MARTINO-PASTA-MANICOTTI-PGI-GRAGNANO,Manicotti (PGI Gragnano),Di Martino Pasta,Pasta,"Di Martino Pasta product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://pastadimartino.com/products/manicotti,kehe_public_marketing_page
KEHE-DI-MARTINO-PASTA-ORZO-PGI-GRAGNANO,Orzo (PGI Gragnano),Di Martino Pasta,Pasta,"Di Martino Pasta product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://pastadimartino.com/products/orzo,kehe_public_marketing_page
